district_name,demand_w
Раменки,22220499.356090486
Сосенское,19627538.223976653
Марьино,18152059.184323013
Хорошёво-Мнёвники,17266518.712499056
Южное Бутово,17144547.196935378
Пресненский,15696062.287036858
Митино,15219211.281798132
Выхино-Жулебино,13147253.173166135
Отрадное,12742071.675342139
Люблино,12481375.730603574
Тропарёво-Никулино,11999822.09247969
Московский,11975789.846245144
Гольяново,11975369.820058962
Кунцево,11876496.881437957
Очаково-Матвеевское,11414247.711510861
Можайский,11142697.468368609
Даниловский,10365360.513249308
Ясенево,10279508.069647923
Таганский,10257600.0496048
Коньково,10215091.529898694
Солнцево,10063190.635127146
Бирюлёво Восточное,10044513.812218662
Хамовники,9886214.639259288
Обручевский,9781926.685325896
Басманный,9485104.961060634
Северное Тушино,9372484.094716314
Чертаново Южное,9134735.63948568
Черёмушки,9127049.498415338
Некрасовка,9123798.232896976
Ховрино,8859950.430398973
Хорошёвский,8705399.698859362
Рязанский,8690640.478264323
Внуковское,8606709.357133875
Перово,8341434.038594761
Тёплый Стан,8339917.254841121
Щукино,8242784.150541632
Академический,8236604.654585703
Орехово-Борисово Южное,8226950.034122039
Строгино,8191019.879891643
Крюково,8138322.808872314
Богородское,8087881.337194677
Филёвский Парк,7930222.716647853
Головинский,7898154.824669468
Западное Дегунино,7882770.0002905335
Бибирево,7819933.1434884695
Ломоносовский,7743524.912517268
Кузьминки,7638014.871014188
Зюзино,7570913.155562031
Лефортово,7495982.306869527
Фили-Давыдково,7445195.88291147
Измайлово,7412738.536587399
Северное Бутово,7326709.868244738
Нагатинский Затон,7174525.209114202
Гагаринский,7011786.5686844755
Дмитровский,6949039.810069964
Тверской,6737191.105994412
Тимирязевский,6686707.731336119
Ивановское,6664367.841183912
Северное Медведково,6563282.836935932
Покровское-Стрешнево,6405927.986981742
Ново-Переделкино,6292061.97402398
Текстильщики,6202199.871460067
Южное Тушино,6173055.806116367
Царицыно,6168053.286509664
Аэропорт,6165003.195140282
Проспект Вернадского,6160847.982719061
Крылатское,6121359.376200877
Чертаново Северное,6120098.145746539
Останкинский,6040749.204513818
Войковский,5876187.792257138
Чертаново Центральное,5872728.049740038
Коптево,5850020.0826031715
Зябликово,5824778.143054006
Восточное Дегунино,5787109.935432202
Бескудниковский,5750658.984284876
Преображенское,5695164.443479525
Вешняки,5684569.048699389
Новокосино,5677237.475962935
Орехово-Борисово Северное,5671042.87373218
Ярославский,5629198.323287386
Соколиная Гора,5612142.264979303
Братеево,5575880.857393113
Алексеевский,5509109.306186677
Бабушкинский,5505400.279318087
Левобережный,5485637.354751996
Южное Медведково,5447340.7330717435
Дорогомилово,5439768.107080822
Лианозово,5435832.827511959
Лосиноостровский,5406404.529021986
Бутырский,5355267.498873312
Свиблово,5292736.187368686
Москворечье-Сабурово,5239547.774524053
Мещанский,5224528.650479559
Новогиреево,5218674.826902791
Нагатино-Садовники,5061317.146449391
Южнопортовый,5033063.3978132
Косино-Ухтомский,4900433.958094571
Северное Измайлово,4747516.943146631
Нагорный,4683993.422326813
Замоскворечье,4620691.883706931
Десёновское,4607022.582499371
Марьина Роща,4556323.336127144
Щербинка,4490664.236838415
Савёловский,4298675.357309536
Сокол,4293592.275901007
Печатники,4198821.658323508
Красносельский,4122585.503462282
Сокольники,3997886.2746288846
Якиманка,3915005.715678209
Рязановское,3901970.057358406
Восточное Измайлово,3895881.5350026255
Северный,3880793.9953464055
Котловка,3801777.0266051125
Троицк,3780987.10375794
Нижегородский,3756819.146941691
Донской,3584678.3036292866
Алтуфьевский,3552550.41777101
Ростокино,3500176.5143277277
Куркино,3327260.087455674
Метрогородок,3190085.7187915524
Матушкино,3157680.0269886507
Бирюлёво Западное,3151495.557558256
Беговой,2974588.471876837
Савёлки,2886057.782554071
Силино,2852071.500277724
Арбат,2548737.102189896
Старое Крюково,2196122.939504647
Молжаниновский,2125303.7069918616
Марфино,1962594.177196972
Филимонковское,1695097.826787551
Воскресенское,1520952.0717953374
"""Мосрентген""",1174104.951819368
Капотня,1113892.190295785
Марушкинское,851587.3573018276
Кокошкино,774884.4927108411
Внуково,704658.1935699431
Первомайское,401080.3332680615
Киевский,389919.73078250425
Восточный,344719.7687056765
Новофёдоровское,332769.7141911032
Щаповское,58663.83114889708
