district_name,demand_total,share_10min,share_10min_pct,p50_time_min,p90_time_min,unserved_demand_10min,priority_score
Хорошёво-Мнёвники,17266518.712499056,0.0,0.0,138.87603737599446,146.39639803446107,17266518.712499056,69066074.84999622
Сосенское,19627538.223976653,0.1508345618153682,15.08345618153682,40.891397726150565,93.29702438828456,16667027.096448746,66668108.38579498
Пресненский,15696062.28703686,0.0,0.0,125.16031782337632,133.50425554293426,15696062.28703686,62784249.14814744
Раменки,22220499.35609049,0.2034400865703715,20.34400865703715,23.356010384395884,45.88204315925136,17699959.043450557,59040001.765671864
Выхино-Жулебино,13147253.173166132,0.0,0.0,106.02739345254722,117.96672062741337,13147253.173166132,52589012.69266453
Люблино,12481375.730603572,0.0,0.0,31.55687534760073,43.24126846442798,12481375.730603572,49193789.95225643
Южное Бутово,17144547.19693538,0.1807753136859205,18.07753136859205,24.341641487082875,90.42137433720823,14045236.29940632,48233646.959557444
Московский,11975789.846245144,0.0,0.0,142.91657241525652,163.44572789225847,11975789.846245144,47903159.384980574
Гольяново,11975369.820058962,0.0,0.0,192.6073266955821,209.37109906900943,11975369.820058962,47901479.28023585
Кунцево,11876496.881437955,0.0,0.0,106.08506537867396,125.84135700617324,11876496.881437955,47505987.52575182
Очаково-Матвеевское,11414247.71151086,0.0,0.0,41.73374147819069,50.27634666070863,11414247.71151086,45656990.84604344
Можайский,11142697.468368609,0.0,0.0,94.972233343504,115.1603870000776,11142697.468368609,44570789.873474434
Даниловский,10365360.513249308,0.0,0.0,113.12612376130956,133.86052300668726,10365360.513249308,41461442.05299723
Ясенево,10279508.069647923,0.0,0.0,76.8000588392102,89.0139139521944,10279508.069647923,41118032.27859169
Таганский,10257600.0496048,0.0,0.0,145.85354351879354,154.44516910641667,10257600.0496048,41030400.1984192
Коньково,10215091.529898692,0.0,0.0,40.18355218439763,53.18544822019318,10215091.529898692,40860366.11959477
Солнцево,10063190.635127146,0.0,0.0,72.92673356734244,91.02764900663028,10063190.635127146,40252762.54050858
Хамовники,9886214.639259288,0.0,0.0,89.64982684819235,109.38479970495396,9886214.639259288,39544858.55703715
Марьино,18152059.184323013,0.201242114192621,20.1242114192621,17.817939004458523,42.94121913599732,14499100.417120265,39338493.41949639
Басманный,9485104.961060634,0.0,0.0,154.05753136639683,158.96515425709407,9485104.961060634,37940419.844242536
Северное Тушино,9372484.094716314,0.0,0.0,71.90510603636855,81.00604804940899,9372484.094716314,37489936.37886526
Чертаново Южное,9134735.63948568,0.0,0.0,49.46748922187828,56.97148919067869,9134735.63948568,36538942.55794272
Некрасовка,9123798.232896976,0.0,0.0,189.2553283543517,203.6242589618958,9123798.232896976,36495192.931587905
Хорошёвский,8705399.698859362,0.0,0.0,139.30282869277127,145.5366883176426,8705399.698859362,34821598.79543745
Рязанский,8690640.478264323,0.0,0.0,105.73713900740132,117.0783825589786,8690640.478264323,34762561.91305729
Внуковское,8606709.357133873,0.0,0.0,151.19119867548392,169.1107182183,8606709.357133873,34426837.42853549
Отрадное,12742071.675342135,0.1351182656703266,13.511826567032658,24.413483705237645,34.647907391057295,11020385.049522914,34122182.578757845
Перово,8341434.03859476,0.0,0.0,166.45157322186245,177.56396242955705,8341434.03859476,33365736.15437904
Тёплый Стан,8339917.254841121,0.0,0.0,53.26516443731409,69.03107567962863,8339917.254841121,33359669.019364484
Щукино,8242784.150541633,0.0,0.0,110.7744118952602,127.08655055253568,8242784.150541633,32971136.602166533
Академический,8236604.654585702,0.0,0.0,38.14968609981466,52.77724998414671,8236604.654585702,32946418.61834281
Орехово-Борисово Южное,8226950.034122039,0.0,0.0,77.87093836689353,86.90851386876824,8226950.034122039,32907800.136488155
Строгино,8191019.879891642,0.0,0.0,85.85007622141883,95.66627138955263,8191019.879891642,32764079.51956657
Богородское,8087881.337194677,0.0,0.0,115.72077891050816,132.26750964287618,8087881.337194677,32351525.34877871
Филёвский Парк,7930222.716647852,0.0,0.0,85.6937826946194,115.47526073860928,7930222.716647852,31720890.86659141
Бибирево,7819933.14348847,0.0,0.0,65.56759308658782,74.36167923103147,7819933.14348847,31279732.57395388
Кузьминки,7638014.871014188,0.0,0.0,76.5822421153122,87.51807540636649,7638014.871014188,30552059.484056752
Лефортово,7495982.306869528,0.0,0.0,164.84340559905823,173.67702533441056,7495982.306869528,29983929.227478113
Фили-Давыдково,7445195.88291147,0.0,0.0,68.07426509934959,82.1197981079034,7445195.88291147,29780783.53164588
Зюзино,7570913.155562031,0.0,0.0,29.687772778516607,43.80471052469569,7570913.155562031,29745620.34393993
Измайлово,7412738.536587399,0.0,0.0,193.2403678368305,202.60019770475796,7412738.536587399,29650954.146349598
Нагатинский Затон,7174525.209114202,0.0,0.0,104.77919731409348,111.31737280700456,7174525.209114202,28698100.83645681
Бирюлёво Восточное,10044513.81221866,0.2967552581621056,29.67552581621056,30.072508881690634,48.00787089842751,7063751.522760876,28255006.091043506
Гагаринский,7011786.568684474,0.0,0.0,29.720266977266814,52.06630237558687,7011786.568684474,27851003.449576087
Тверской,6737191.105994412,0.0,0.0,128.50263092234482,138.0889812001926,6737191.105994412,26948764.423977647
Тимирязевский,6686707.731336119,0.0,0.0,67.1271064627766,84.66551116715095,6686707.731336119,26746830.925344475
Ивановское,6664367.841183914,0.0,0.0,190.95969157726265,208.017998467752,6664367.841183914,26657471.364735655
Северное Медведково,6563282.836935932,0.0,0.0,67.33803832287933,78.08554222510568,6563282.836935932,26253131.347743727
Покровское-Стрешнево,6405927.986981743,0.0,0.0,80.31203774565095,91.78064252098793,6405927.986981743,25623711.947926972
Головинский,7898154.82466947,0.0882243280790473,8.82243280790473,27.186251460417797,39.75937983984132,7201345.42219872,25521120.30565965
Ново-Переделкино,6292061.974023979,0.0,0.0,117.57143199343054,127.86114990204564,6292061.974023979,25168247.896095917
Текстильщики,6202199.871460068,0.0,0.0,80.55210044206022,101.7637436195716,6202199.871460068,24808799.485840272
Южное Тушино,6173055.806116367,0.0,0.0,75.16232758806065,89.06063135409053,6173055.806116367,24692223.224465467
Царицыно,6168053.286509664,0.0,0.0,46.820261143201336,58.21068725517178,6168053.286509664,24672213.146038655
Аэропорт,6165003.195140282,0.0,0.0,100.6375906700632,114.07203548935858,6165003.195140282,24660012.780561127
Крылатское,6121359.376200877,0.0,0.0,132.33197107671225,147.4551420065312,6121359.376200877,24485437.50480351
Чертаново Северное,6120098.145746539,0.0,0.0,61.38116128247511,69.48032984072955,6120098.145746539,24480392.582986157
Войковский,5876187.792257138,0.0,0.0,65.66223876235794,79.03990644819861,5876187.792257138,23504751.16902855
Чертаново Центральное,5872728.049740038,0.0,0.0,62.26899394655991,69.01687645336375,5872728.049740038,23490912.19896015
Коптево,5850020.082603172,0.0,0.0,51.144990976650085,68.3655957825644,5850020.082603172,23400080.33041269
Зябликово,5824778.143054005,0.0,0.0,66.45078356448168,74.35039483044838,5824778.143054005,23299112.57221602
Преображенское,5695164.443479525,0.0,0.0,130.34746905946542,145.77391958104397,5695164.443479525,22780657.7739181
Вешняки,5684569.048699391,0.0,0.0,135.158341918382,152.63190590950853,5684569.048699391,22738276.194797564
Новокосино,5677237.475962934,0.0,0.0,170.14313971984046,183.49022589968115,5677237.475962934,22708949.903851736
Орехово-Борисово Северное,5671042.87373218,0.0,0.0,58.979523784565366,71.53820087168748,5671042.87373218,22684171.49492872
Ярославский,5629198.323287386,0.0,0.0,84.327479868532,101.61100422065932,5629198.323287386,22516793.293149546
Соколиная Гора,5612142.264979302,0.0,0.0,166.3963001702894,174.56275789238137,5612142.264979302,22448569.059917208
Братеево,5575880.857393113,0.0,0.0,47.696783538722585,57.32789599500706,5575880.857393113,22303523.42957245
Проспект Вернадского,6160847.982719061,0.0,0.0,28.353909596615317,37.36413841804128,6160847.982719061,22061147.909318592
Алексеевский,5509109.306186677,0.0,0.0,74.97703972010328,86.3720529175703,5509109.306186677,22036437.224746708
Бабушкинский,5505400.279318085,0.0,0.0,49.73016347377845,59.89864650592852,5505400.279318085,22021601.11727234
Южное Медведково,5447340.733071743,0.0,0.0,37.80997947156304,47.0587623094119,5447340.733071743,21789362.93228697
Дорогомилово,5439768.107080822,0.0,0.0,88.23258435436091,97.5013814576958,5439768.107080822,21759072.428323288
Лианозово,5435832.82751196,0.0,0.0,55.32324199823361,64.02970189359301,5435832.82751196,21743331.31004784
Лосиноостровский,5406404.529021986,0.0,0.0,77.34890102146328,93.34545917239392,5406404.529021986,21625618.116087943
Бутырский,5355267.498873312,0.0,0.0,69.43656820501165,96.94346668306272,5355267.498873312,21421069.995493248
Западное Дегунино,7882770.000290533,0.0266604670620922,2.66604670620922,21.46994633722449,33.79190727226644,7672611.670339738,21279156.317693442
Москворечье-Сабурово,5239547.774524052,0.0,0.0,69.92993566377406,76.62445875294243,5239547.774524052,20958191.098096207
Мещанский,5224528.65047956,0.0,0.0,118.4141844193894,137.2333826236523,5224528.65047956,20898114.60191824
Новогиреево,5218674.826902792,0.0,0.0,159.3130731365367,168.61098593937112,5218674.826902792,20874699.307611167
Нагатино-Садовники,5061317.146449391,0.0,0.0,88.26245656936322,101.21200737312778,5061317.146449391,20245268.585797563
Южнопортовый,5033063.397813199,0.0,0.0,123.87527845237832,139.10741325561034,5033063.397813199,20132253.591252796
Косино-Ухтомский,4900433.958094571,0.0,0.0,160.90807030043615,174.92652621330683,4900433.958094571,19601735.832378283
Свиблово,5292736.187368685,0.0,0.0,28.455260093235083,37.95174745988109,5292736.187368685,19109869.959787335
Северное Измайлово,4747516.943146631,0.0,0.0,201.48456656686076,216.33444368760175,4747516.943146631,18990067.772586524
Останкинский,6040749.204513818,0.2196379089281584,21.96379089281584,60.14283295918859,78.65674570288535,4713971.680874967,18855886.723499868
Тропарёво-Никулино,11999822.092479693,0.2467405125963293,24.67405125963293,16.94829000961932,26.637900119379992,9038979.838316496,18826016.653736223
Нагорный,4683993.4223268125,0.0,0.0,51.88146097153254,57.14466530344149,4683993.4223268125,18735973.68930725
Замоскворечье,4620691.88370693,0.0,0.0,117.68507063062847,131.83200583933166,4620691.88370693,18482767.53482772
Десёновское,4607022.582499371,0.0,0.0,152.90580008524498,185.4785891315125,4607022.582499371,18428090.329997484
Марьина Роща,4556323.336127144,0.0,0.0,97.23154572083024,110.63870426425454,4556323.336127144,18225293.344508577
Щербинка,4490664.236838415,0.0,0.0,82.25967508781609,93.22016395003044,4490664.236838415,17962656.94735366
Савёловский,4298675.357309535,0.0,0.0,100.93519076609596,106.51130532822276,4298675.357309535,17194701.42923814
Сокол,4293592.275901007,0.0,0.0,105.21418227280456,118.27955519878893,4293592.275901007,17174369.103604026
Печатники,4198821.658323508,0.0,0.0,58.93114185673474,68.96334816230186,4198821.658323508,16795286.63329403
Красносельский,4122585.503462282,0.0,0.0,137.6764182338485,145.2170050856451,4122585.503462282,16490342.013849128
Сокольники,3997886.2746288846,0.0,0.0,120.82707783022516,133.67539642214066,3997886.2746288846,15991545.098515538
Якиманка,3915005.715678209,0.0,0.0,102.6429971867351,118.32010342918548,3915005.715678209,15660022.862712836
Рязановское,3901970.0573584074,0.0,0.0,124.13022421544228,133.8894786632955,3901970.0573584074,15607880.22943363
Восточное Измайлово,3895881.535002626,0.0,0.0,215.4310003384839,220.3142107644535,3895881.535002626,15583526.140010504
Северный,3880793.995346405,0.0,0.0,80.90515293220915,99.68425755101588,3880793.995346405,15523175.98138562
Котловка,3801777.026605113,0.0,0.0,48.281661744848506,56.99969638108927,3801777.026605113,15207108.106420452
Троицк,3780987.10375794,0.0,0.0,208.37302084094677,231.0931592134727,3780987.10375794,15123948.41503176
Нижегородский,3756819.1469416902,0.0,0.0,126.2517977005854,132.46961651673615,3756819.1469416902,15027276.587766761
Донской,3584678.3036292866,0.0,0.0,72.44702481939339,83.49802640930491,3584678.3036292866,14338713.214517146
Алтуфьевский,3552550.41777101,0.0,0.0,40.68211483333316,51.94009734625387,3552550.41777101,14210201.67108404
Обручевский,9781926.685325896,0.3235083476001201,32.350834760012006,15.555315776070112,31.89883841153011,6617391.747010595,14021102.951821838
Ростокино,3500176.514327728,0.0,0.0,52.33038542672922,59.97527164957639,3500176.514327728,14000706.057310913
Куркино,3327260.0874556736,0.0,0.0,88.12777905382633,101.55745911969078,3327260.0874556736,13309040.349822694
Метрогородок,3190085.7187915524,0.0,0.0,144.62692943357055,153.24530765701158,3190085.7187915524,12760342.87516621
Бирюлёво Западное,3151495.557558257,0.0,0.0,37.10788030367288,47.85978556313373,3151495.557558257,12605982.230233029
Митино,15219211.281798132,0.4631475190575674,46.314751905756744,11.514391491443666,25.838824606800536,8170471.334620387,12359744.086671798
Беговой,2974588.471876837,0.0,0.0,126.0899892191186,139.34991885645383,2974588.471876837,11898353.887507347
Восточное Дегунино,5787109.935432203,0.1600619354524222,16.00619354524222,19.270163705946537,30.19522548245461,4860813.918490983,11828906.779337278
Дмитровский,6949039.810069964,0.2822461885276742,28.22461885276742,16.211485742486857,27.901617350017567,4987699.8097506445,10230782.248762975
Арбат,2548737.1021898966,0.0,0.0,108.77976727394912,116.90681246460126,2548737.1021898966,10194948.408759587
Черёмушки,9127049.49841534,0.3601216820469817,36.01216820469817,13.537826242614877,22.519289646066344,5840201.080919947,9370168.196166143
Молжаниновский,2125303.7069918616,0.0,0.0,48.75683610372836,84.76402530876967,2125303.7069918616,8501214.827967446
Марфино,1962594.177196972,0.0,0.0,53.9522453053856,58.24682816165487,1962594.177196972,7850376.708787888
Ховрино,8859950.430398973,0.4043088089289636,40.43088089289636,12.054226099115176,20.94142676195232,5277794.424714706,7407227.031318815
Ломоносовский,7743524.912517268,0.4223702292135075,42.23702292135075,13.373811742352864,22.726946137777396,4472890.520296845,7134019.047277436
Филимонковское,1695097.8267875507,0.0,0.0,175.54455972589793,201.1567336739733,1695097.8267875507,6780391.307150203
Воскресенское,1520952.0717953374,0.0,0.0,48.45453988111346,85.93216186645049,1520952.0717953374,6083808.2871813495
"""Мосрентген""",1174104.951819368,0.0,0.0,78.80334425147508,87.30858149021556,1174104.951819368,4696419.807277472
Капотня,1113892.190295785,0.0,0.0,60.80477458039674,68.05297834476188,1113892.190295785,4455568.76118314
Левобережный,5485637.354751995,0.4114675173981365,41.146751739813645,11.9694845701635,19.48688118633133,3228475.771045711,4347178.665922219
Северное Бутово,7326709.868244737,0.4984610533435579,49.84610533435579,10.260080729754996,16.208102657362172,3674630.349776826,3918178.093751443
Марушкинское,851587.3573018276,0.0,0.0,340.8995529126183,345.0494058107989,851587.3573018276,3406349.4292073105
Бескудниковский,5750658.984284876,0.4831843929428865,48.31843929428865,10.190606710935382,18.371308528424816,2972030.313941632,3362666.911039982
Кокошкино,774884.4927108411,0.0,0.0,301.91338018170205,306.066199809645,774884.4927108411,3099537.9708433645
Внуково,704658.1935699431,0.0,0.0,188.92429612953575,210.58098461310524,704658.1935699431,2818632.7742797723
Первомайское,401080.3332680615,0.0,0.0,327.7519937701655,345.47736447555496,401080.3332680615,1604321.333072246
Киевский,389919.7307825043,0.0,0.0,678.6950729594755,682.2487774276792,389919.7307825043,1559678.9231300172
Восточный,344719.7687056765,0.0,0.0,247.53990518505708,252.65672457393225,344719.7687056765,1378879.074822706
Новофёдоровское,332769.7141911032,0.0,0.0,660.1012829427111,664.8305509552881,332769.7141911032,1331078.8567644127
Крюково,8138322.808872311,0.8630933815812905,86.30933815812905,0.0,11.778495794137193,1114190.255362562,1114190.255362562
Щаповское,58663.83114889708,0.0,0.0,246.2433427541552,246.2433427541552,58663.83114889708,234655.32459558832
Савёлки,2886057.782554071,1.0,100.0,0.0,0.0,0.0,0.0
Матушкино,3157680.02698865,1.0,100.0,0.0,0.0,0.0,0.0
Силино,2852071.500277724,1.0,100.0,0.0,0.0,0.0,0.0
Старое Крюково,2196122.939504648,1.0,100.0,0.0,0.0,0.0,0.0
