district_name,delta_mean_time_min
Таганский,-127.7549303617729
Хорошёво-Мнёвники,-110.41003694452144
Южнопортовый,-81.83671765534069
Замоскворечье,-72.15654544581834
Басманный,-72.14990023878678
Лефортово,-71.36105789551982
Хорошёвский,-71.2890623292399
Красносельский,-69.46858270777392
Нижегородский,-69.1670156704966
Богородское,-67.78893862972761
Щукино,-64.56552627286744
Крылатское,-63.32655868119906
Ново-Переделкино,-60.225593616870896
Внуковское,-58.28792871261007
Сокольники,-57.38066716389372
Солнцево,-57.21675402829116
Преображенское,-56.782393007326775
Северное Тушино,-53.92742806954704
Даниловский,-48.10767160926026
Московский,-45.12341409906733
Сокол,-43.85205024179557
Внуково,-42.50635979460927
Мещанский,-41.591487438699104
Тверской,-41.26730134220344
Якиманка,-40.747250349147706
Южное Тушино,-38.48068914149937
Пресненский,-38.46738763843595
Беговой,-30.98104197188709
Арбат,-26.43975122686507
Метрогородок,-22.86269304687722
