sel_rank,lat,lon,district_name
21,55.86866191189736,37.58740731419206,Отрадное
22,55.77669177727312,37.46696525739167,Хорошёво-Мнёвники
23,55.80540770931898,37.72202062625905,Преображенское
24,55.65047905456568,37.40769590139173,Солнцево
25,55.8748292071578,37.51407168528189,Западное Дегунино
26,55.73929690848329,37.67226539193327,Таганский
27,55.89078614419732,37.52829721376562,Дмитровский
28,55.65991848515211,37.48799207581213,Тропарёво-Никулино
29,55.85767534316574,37.41746346219094,Северное Тушино
30,55.84954304763621,37.64128008136852,Свиблово
