sel_rank,district_name,lat,lon,gain_demand_w,covered_cum_w,covered_cum_share
1,Матушкино,56.00035748819178,37.20294281207871,7896727,7896727,0.008439643421042411
2,Крюково,55.98323743960958,37.168453359316814,7196955,15093682,0.016131404060265253
3,Раменки,55.70125401818049,37.50584018648099,4520533,19614215,0.020962733115081903
4,Митино,55.84390336498925,37.36407176310054,3744960,23359175,0.024965166911522757
5,Марьино,55.65787327364337,37.75602294556223,3652952,27012127,0.028869266966416854
6,Северное Бутово,55.56707576715513,37.57676127248728,3652072,30664199,0.032772426519478925
7,Ломоносовский,55.677295072383345,37.543559615568064,3420799,34084998,0.03642841257231556
8,Митино,55.85267149273599,37.347727725679455,3303766,37388764,0.03995931936275717
9,Ховрино,55.861604566161525,37.50327156537732,3274375,40663139,0.04345881446076116
10,Левобережный,55.86524860998106,37.47700710199989,3261739,43924878,0.046944804807458905
11,Обручевский,55.664936967225586,37.521617637131996,3164531,47089409,0.050326903901784285
12,Черёмушки,55.65843282198285,37.56283349398936,3136672,50226081,0.053679228631861434
13,Южное Бутово,55.5492833630017,37.553597776491515,3099305,53325386,0.05699161730289613
14,Отрадное,55.85555065636614,37.619835345308424,3048460,56373846,0.06024966527432923
15,Крюково,55.97413782251181,37.16087031355402,3022317,59396163,0.06347977286008655
16,Бирюлёво Восточное,55.60285198397397,37.656897979562416,2980757,62376920,0.06666546310932223
17,Тропарёво-Никулино,55.65972168749706,37.47210309206429,2960835,65337755,0.06982986167958331
18,Сосенское,55.54467969308323,37.488078236330665,2960505,68298260,0.07299390756165738
19,Дмитровский,55.877408145965845,37.53679604507434,2943540,71241800,0.0761398220646629
20,Бескудниковский,55.86182270255449,37.562033559802074,2932872,74174672,0.07927433512045924
