sel_rank,lat,lon,district_name,source
1,55.98710595883754,37.20501877398178,Старое Крюково,fixed_zelenograd
2,55.97777324608722,37.18140959743696,Старое Крюково,fixed_zelenograd
3,55.96503775047863,37.15329079201917,Крюково,fixed_zelenograd
4,55.677200507705294,37.53561137722211,Ломоносовский,chosen_effective
5,55.86866191189736,37.58740731419206,Отрадное,chosen_effective
6,55.758411965806665,37.57767643934221,Пресненский,chosen_effective
7,55.861604566161525,37.50327156537732,Ховрино,chosen_effective
8,55.69779589077935,37.76146022120661,Кузьминки,chosen_effective
9,55.79219819353729,37.49404285843343,Щукино,chosen_effective
10,55.73929690848329,37.672265391933266,Таганский,chosen_effective
11,55.807105522596814,37.79855957883789,Северное Измайлово,chosen_effective
12,55.73693833684964,37.44403133156466,Филёвский Парк,chosen_effective
13,55.868333364758314,37.665586358683626,Бабушкинский,chosen_effective
14,55.74944937380092,37.82060675914136,Новогиреево,chosen_effective
15,55.67944760101994,37.48163979425278,Проспект Вернадского,chosen_effective
16,55.8058257905039,37.582463323332405,Бутырский,chosen_effective
17,55.79634159951291,37.71434177353745,Преображенское,chosen_effective
18,55.64580195880742,37.60386052631196,Зюзино,chosen_effective
19,55.72038606789733,37.617187780289946,Якиманка,chosen_effective
20,55.81173568545408,37.642458190016924,Алексеевский,chosen_effective
