district_name,share_10min_base,share_10min_keep,delta_share10_keep_minus_base
Алексеевский,0.0,0.3510001330535998,0.3510001330535998
Новогиреево,0.0,0.323781146260236,0.323781146260236
Преображенское,0.0,0.2896767313538889,0.2896767313538889
Бабушкинский,0.0,0.2640598738069995,0.2640598738069995
Таганский,0.0,0.252259546241896,0.252259546241896
Северное Измайлово,0.0,0.2164634681716072,0.2164634681716072
Кузьминки,0.0,0.2074310151427925,0.2074310151427925
Якиманка,0.0,0.204687178057062,0.204687178057062
Щукино,0.0,0.1867193495713009,0.1867193495713009
Савёловский,0.0,0.1412502173477253,0.1412502173477253
Проспект Вернадского,0.0,0.1300964432933367,0.1300964432933367
Алтуфьевский,0.0,0.1038791659544435,0.1038791659544435
Замоскворечье,0.0,0.0983660823846327,0.0983660823846327
Зюзино,0.0,0.0967915449048515,0.0967915449048515
Бутырский,0.0,0.0958426226122894,0.0958426226122894
Даниловский,0.0,0.0860900014714637,0.0860900014714637
Нагорный,0.0,0.0674387075055338,0.0674387075055338
Пресненский,0.0,0.0653533642486116,0.0653533642486116
Отрадное,0.1351182656703266,0.1838326317994744,0.0487143661291477
Фили-Давыдково,0.0,0.0442422260502975,0.0442422260502975
