district_name,share_10min_eff,share_10min_keep,delta_keep_vs_eff_share10
Матушкино,0.0,1.0,1.0
Савёлки,0.0,1.0,1.0
Силино,0.0,1.0,1.0
Старое Крюково,0.0,1.0,1.0
Крюково,0.0,0.8630933815812905,0.8630933815812905
Арбат,0.0,0.0,0.0
Тропарёво-Никулино,0.0078635851248496,0.0078635851248496,0.0
Выхино-Жулебино,0.0,0.0,0.0
Некрасовка,0.0,0.0,0.0
Орехово-Борисово Северное,0.0,0.0,0.0
Лефортово,0.0,0.0,0.0
Южное Бутово,0.0,0.0,0.0
Северный,0.0,0.0,0.0
Измайлово,0.0,0.0,0.0
Нижегородский,0.0,0.0,0.0
Ярославский,0.0,0.0,0.0
Западное Дегунино,0.0,0.0,0.0
Солнцево,0.0,0.0,0.0
Даниловский,0.0860900014714637,0.0860900014714637,0.0
Головинский,0.0882243280790473,0.0882243280790473,0.0
